Temperature,x1,x2,y1,y2
°C,mol fract.,mol fract.,mol fract.,mol fract.
56.9019,0.132237,0.231404,0.126977,0.23693
57.0037,0.171482,0.197822,0.138669,0.219782
57.1532,0.222566,0.166405,0.145669,0.207027
57.3507,0.276308,0.139752,0.151542,0.194408
57.6001,0.331762,0.116867,0.157163,0.180692
57.9032,0.388497,0.097368,0.162833,0.165606
58.131,0.446221,0.0810196,0.166662,0.154928
58.3841,0.50446,0.0666138,0.170619,0.143593
58.7683,0.563296,0.0548723,0.176357,0.126388
59.1642,0.622554,0.0454862,0.181928,0.109823
59.5158,0.682094,0.0380819,0.186771,0.0947102
59.8257,0.741811,0.0322805,0.190995,0.0814384
60.092,0.801639,0.0277403,0.194571,0.0701054
60.316,0.861532,0.0241739,0.197544,0.0606102
60.5024,0.921465,0.021353,0.19999,0.0527394
60.6555,0.980909,0.0190913,0.202019,0.0462544
100.348,1,0,1,0
58.8375,0.594333,0.059068,0.177362,0.123308
59.1642,0.622554,0.0454862,0.181928,0.109823
59.3801,0.591517,0.0412905,0.184908,0.100542
59.1642,0.622554,0.0454862,0.181928,0.109823
56.8784,0.121877,0.243059,0.121877,0.243059
56.9856,0.0893656,0.289834,0.0994664,0.267524
57.1684,0.0710811,0.342971,0.0827933,0.283652
57.3183,0.0620308,0.402249,0.0710286,0.294165
57.4277,0.0582822,0.462124,0.0629109,0.301086
57.5048,0.0572111,0.522112,0.0572361,0.305779
57.7115,0.0577672,0.582108,0.0510477,0.31461
58.0873,0.0596157,0.642079,0.0467828,0.326882
58.8623,0.0622794,0.702019,0.0442077,0.347542
60.5139,0.0654831,0.761934,0.043831,0.387212
62.5933,0.0690333,0.821829,0.0456817,0.436808
66.1671,0.0727019,0.881716,0.0508832,0.527886
78.0918,0.0678246,0.932175,0.0717107,0.928289
78.1456,0.0324497,0.96755,0.0364221,0.963578
78.2118,0,1,0,1
58.2649,0.0519565,0.672449,0.0406847,0.33475
58.8623,0.0622794,0.702019,0.0442077,0.347542
58.0983,0.0699386,0.67165,0.0515088,0.324543
58.8623,0.0622794,0.702019,0.0442077,0.347542
56.8784,0.121877,0.243059,0.121877,0.243059
57.0106,0.0864132,0.28605,0.098672,0.268662
57.2531,0.0605841,0.330415,0.0757642,0.289944
57.477,0.0437321,0.387895,0.0589049,0.304478
57.6969,0.0356974,0.447316,0.0445355,0.316217
57.8479,0.0327357,0.507237,0.0366931,0.324136
58.0142,0.0319437,0.567231,0.0318273,0.331628
58.2814,0.0322486,0.627229,0.0285777,0.341194
58.7853,0.0331854,0.687222,0.0264241,0.356022
59.37,0.0345166,0.747207,0.0255415,0.371463
60.2984,0.0360265,0.807188,0.0251438,0.394772
62.8498,0.0377048,0.867165,0.0260278,0.458255
68.2525,0.0393958,0.927141,0.0306181,0.606334
78.164,0.0243381,0.975662,0.0277152,0.972285
